"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15317","Reveal code form","chromium","2026-03-29","passed","2026-03-29","","Home page\revealCode.spec.js","",""
"","32047","Accommodation vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\accommodation.spec.js","",""
"","22914","Book free call","chromium","2026-03-29","passed","2026-03-29","","Home page\bookFreeCall.spec.js","",""
"","28689","infinity lite","chromium","2026-03-29","passed","2026-03-29","","Bundle\infinityLite.spec.js","",""
"","17829","Guarantor Vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\guarantor.spec.js","",""
"","31570","International Money Transfer vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\intMoneyTransfer.spec.js","",""
"","34059","Travel Insurance Vas form","chromium","2026-03-29","broken","2026-03-29","","VAS Detail\travelInsurance.spec.js","",""
"","20178","Student Bank Account vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\studentBankAccount.spec.js","",""
"","16628","Luggage Storage Vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\luggageStorage.spec.js","",""
"","24153","Health insurance Vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\healthInsurance.spec.js","",""
"","16698","Airport Pickup Vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\airportPickup.spec.js","",""
"","26123","forex vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\forex.spec.js","",""
"","22585","Room Essentials Vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\roomEssentials.spec.js","",""
"","20227","infinity Elite","chromium","2026-03-29","passed","2026-03-29","","Bundle\infinityElite.spec.js","",""
"","27507","infinity Plus","chromium","2026-03-29","passed","2026-03-29","","Bundle\infinityPlus.spec.js","",""
"","20929","Student Flight Ticket Vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\studentFlightTicket.spec.js","",""
"","22268","student internship Vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\studentInternships.spec.js","",""
"","23798","International Sim Vas form","chromium","2026-03-29","passed","2026-03-29","","VAS Detail\internationalSim.spec.js","",""
